2023/07/11 19:42:27 Parsing output variable expressions...
2023/07/11 19:42:27 Loading emissions shapefile: /home/tfmrodge/scratch/GEMMACH_data/data/Inmap_outputs/Emissions/Emissions_shp/NPRI/NPRI_ground_211.shp.
2023/07/11 19:42:27 Loading emissions shapefile: /home/tfmrodge/scratch/GEMMACH_data/data/Inmap_outputs/Emissions/Emissions_shp/NPRI/NPRI_stack_211.shp.
2023/07/11 19:42:28 Loading CTM data...
2023/07/11 19:42:28 Reading input data...
2023/07/11 19:48:24 Loading population and mortality rate data...
2023/07/11 19:49:07 Initializing model...
2023/07/11 21:09:25 Emission totals:
2023/07/11 21:09:25 gOrg, 3.497824882737187e+09 μg/s
2023/07/11 21:09:25 pOrg, 0 μg/s
2023/07/11 21:09:25 PM2_5, 3.215161032153734e+08 μg/s
2023/07/11 21:09:25 gNH, 4.760887394614507e+07 μg/s
2023/07/11 21:09:25 pNH, 0 μg/s
2023/07/11 21:09:25 gS, 2.258513914035739e+09 μg/s
2023/07/11 21:09:25 pS, 0 μg/s
2023/07/11 21:09:25 gNO, 2.324841412183074e+09 μg/s
2023/07/11 21:09:25 pNO, 0 μg/s
2023/07/11 21:15:40 iteration 246   walltime=  1.44h  Δwalltime= 1.3s  timestep= 3s  day=0.00841
2023/07/11 21:15:41 iteration 247   walltime=  1.44h  Δwalltime= 1.3s  timestep= 3s  day=0.00844
2023/07/11 21:15:44 iteration 249   walltime=  1.44h  Δwalltime= 1.5s  timestep= 3s  day=0.00851
2023/07/11 21:15:45 iteration 250   walltime=  1.44h  Δwalltime= 1.3s  timestep= 3s  day=0.00854
2023/07/11 21:15:48 iteration 252   walltime=  1.44h  Δwalltime= 1.4s  timestep= 3s  day=0.00861
2023/07/11 21:15:49 iteration 253   walltime=  1.45h  Δwalltime= 1.3s  timestep= 3s  day=0.00864
2023/07/11 21:15:51 iteration 254   walltime=  1.45h  Δwalltime= 1.4s  timestep= 3s  day=0.00868
2023/07/11 21:15:54 iteration 256   walltime=  1.45h  Δwalltime= 1.5s  timestep= 3s  day=0.00875
2023/07/11 21:15:55 iteration 257   walltime=  1.45h  Δwalltime= 1.4s  timestep= 3s  day=0.00878
2023/07/11 21:15:57 iteration 258   walltime=  1.45h  Δwalltime= 1.4s  timestep= 3s  day=0.00882
2023/07/11 21:16:00 iteration 260   walltime=  1.45h  Δwalltime= 1.5s  timestep= 3s  day=0.00888
2023/07/11 21:16:01 iteration 261   walltime=  1.45h  Δwalltime= 1.5s  timestep= 3s  day=0.00892
2023/07/11 21:16:04 iteration 263   walltime=  1.45h  Δwalltime= 1.3s  timestep= 3s  day=0.00899
2023/07/11 21:16:05 iteration 264   walltime=  1.45h  Δwalltime= 1.3s  timestep= 3s  day=0.00902
2023/07/11 21:16:07 iteration 265   walltime=  1.45h  Δwalltime= 1.6s  timestep= 3s  day=0.00905
2023/07/11 21:16:10 iteration 267   walltime=  1.45h  Δwalltime= 1.4s  timestep= 3s  day=0.00912
2023/07/11 21:16:11 iteration 268   walltime=  1.45h  Δwalltime= 1.3s  timestep= 3s  day=0.00916
2023/07/11 21:16:14 iteration 270   walltime=  1.45h  Δwalltime= 1.3s  timestep= 3s  day=0.00923
