2023/07/12 19:50:37 Parsing output variable expressions...
2023/07/12 19:50:37 Loading emissions shapefile: /home/tfmrodge/scratch/GEMMACH_data/data/Inmap_outputs/Emissions/Emissions_shp/NPRI/NPRI_ground_211.shp.
2023/07/12 19:50:37 Loading emissions shapefile: /home/tfmrodge/scratch/GEMMACH_data/data/Inmap_outputs/Emissions/Emissions_shp/NPRI/NPRI_stack_211.shp.
2023/07/12 19:50:38 Loading CTM data...
2023/07/12 19:50:38 Reading input data...
2023/07/12 19:56:58 Loading population and mortality rate data...
2023/07/12 19:57:41 Initializing model...
2023/07/13 15:31:59 Emission totals:
2023/07/13 15:31:59 gOrg, 3.4978248827371874e+09 μg/s
2023/07/13 15:31:59 pOrg, 0 μg/s
2023/07/13 15:31:59 PM2_5, 3.215161032153733e+08 μg/s
2023/07/13 15:31:59 gNH, 4.7608873946145065e+07 μg/s
2023/07/13 15:31:59 pNH, 0 μg/s
2023/07/13 15:31:59 gS, 2.258513914035739e+09 μg/s
2023/07/13 15:31:59 pS, 0 μg/s
2023/07/13 15:31:59 gNO, 2.3248414121830726e+09 μg/s
2023/07/13 15:31:59 pNO, 0 μg/s
2023/07/13 15:41:49 iteration 88    walltime=  19.7h  Δwalltime= 6.1s  timestep= 2s  day=0.00223
2023/07/13 15:41:55 iteration 89    walltime=  19.7h  Δwalltime= 6.5s  timestep= 2s  day=0.00226
2023/07/13 15:42:01 iteration 90    walltime=  19.7h  Δwalltime= 6.1s  timestep= 2s  day=0.00228
2023/07/13 15:42:08 iteration 91    walltime=  19.7h  Δwalltime= 6.4s  timestep= 2s  day=0.00231
2023/07/13 15:42:14 iteration 92    walltime=  19.7h  Δwalltime= 6.1s  timestep= 2s  day=0.00233
2023/07/13 15:42:20 iteration 93    walltime=  19.7h  Δwalltime= 6.2s  timestep= 2s  day=0.00236
2023/07/13 15:42:26 iteration 94    walltime=  19.7h  Δwalltime= 5.9s  timestep= 2s  day=0.00238
2023/07/13 15:42:32 iteration 95    walltime=  19.7h  Δwalltime= 5.9s  timestep= 2s  day=0.00241
2023/07/13 15:42:39 iteration 96    walltime=  19.7h  Δwalltime= 7.1s  timestep= 2s  day=0.00244
2023/07/13 15:42:47 iteration 97    walltime=  19.8h  Δwalltime= 8.1s  timestep= 2s  day=0.00246
2023/07/13 15:42:55 iteration 98    walltime=  19.8h  Δwalltime= 8.1s  timestep= 2s  day=0.00249
2023/07/13 15:43:04 iteration 99    walltime=  19.8h  Δwalltime= 8.4s  timestep= 2s  day=0.00251
2023/07/13 15:43:12 iteration 100   walltime=  19.8h  Δwalltime= 8.1s  timestep= 2s  day=0.00254
2023/07/13 15:43:20 iteration 101   walltime=  19.8h  Δwalltime= 8.1s  timestep= 2s  day=0.00256
2023/07/13 15:43:28 iteration 102   walltime=  19.8h  Δwalltime= 8.1s  timestep= 2s  day=0.00259
2023/07/13 15:43:36 iteration 103   walltime=  19.8h  Δwalltime= 8.3s  timestep= 2s  day=0.00261
2023/07/13 15:43:43 iteration 104   walltime=  19.8h  Δwalltime= 6.6s  timestep= 2s  day=0.00264
2023/07/13 15:43:49 iteration 105   walltime=  19.8h  Δwalltime= 6.1s  timestep= 2s  day=0.00266
2023/07/13 15:43:55 iteration 106   walltime=  19.8h  Δwalltime= 6.2s  timestep= 2s  day=0.00269
2023/07/13 15:44:01 iteration 107   walltime=  19.8h  Δwalltime= 6.1s  timestep= 2s  day=0.00271
2023/07/13 15:44:07 iteration 108   walltime=  19.8h  Δwalltime= 6.2s  timestep= 2s  day=0.00274
2023/07/13 15:44:14 iteration 109   walltime=  19.8h  Δwalltime= 6.2s  timestep= 2s  day=0.00277
2023/07/13 15:44:20 iteration 110   walltime=  19.8h  Δwalltime=   6s  timestep= 2s  day=0.00279
2023/07/13 15:44:26 iteration 111   walltime=  19.8h  Δwalltime= 6.3s  timestep= 2s  day=0.00282
2023/07/13 15:44:32 iteration 112   walltime=  19.8h  Δwalltime= 6.2s  timestep= 2s  day=0.00284
2023/07/13 15:44:38 iteration 113   walltime=  19.8h  Δwalltime= 6.4s  timestep= 2s  day=0.00287
2023/07/13 15:44:45 iteration 114   walltime=  19.8h  Δwalltime= 6.2s  timestep= 2s  day=0.00289
2023/07/13 15:44:51 iteration 115   walltime=  19.8h  Δwalltime= 6.2s  timestep= 2s  day=0.00292
2023/07/13 15:44:57 iteration 116   walltime=  19.8h  Δwalltime= 6.2s  timestep= 2s  day=0.00294
2023/07/13 15:45:03 iteration 117   walltime=  19.8h  Δwalltime= 6.2s  timestep= 2s  day=0.00297
2023/07/13 15:45:10 iteration 118   walltime=  19.8h  Δwalltime= 6.6s  timestep= 2s  day=0.00299
2023/07/13 15:45:16 iteration 119   walltime=  19.8h  Δwalltime= 6.2s  timestep= 2s  day=0.00302
2023/07/13 15:45:23 iteration 120   walltime=  19.8h  Δwalltime= 6.6s  timestep= 2s  day=0.00304
